id,word,pos,cefr,priority
1,a bit,adv.,A2,1
2,a couple,det.; pron.,B1,1
3,a few,det.; pron.,A2,1
4,a little,det.; pron.,A2,1
5,a lot,det.; pron.,A1,1
6,"a, an",indefinite article,A1,1
7,a.m.,abbr.,A1,1
8,abandon,v.,B2,2
9,abandoned,adj.,B2,2
10,ability,n.,B1,3
11,able,adj.,A2,2
12,about,adv.; prep.,A1,1
13,above,prep.; adv.,A1,1
14,abroad,adv.,B1,1
15,absence,n.,B2,3
16,absent,adj.,B1,2
17,absolute,adj.,B2,2
18,absolutely,adv.,B1,1
19,absorb,v.,B2,2
20,abuse,n.; v.,B2,2
21,academic,adj.,B2,2
22,accent,n.,B1,3
23,accept,v.,B1,2
24,acceptable,adj.,B1,2
25,access,n.,B1,3
26,accident,n.,A2,3
27,accidental,adj.,B2,2
28,accidentally,adv.,B2,1
29,accommodation,n.,B1,3
30,accompany,v.,B1,2
31,according to,prep.,B1,1
32,account,n.; v.,B1,2
33,accurate,adj.,B1,2
34,accurately,adv.,B1,1
35,accuse,v.,B2,2
36,achieve,v.,B1,2
37,achievement,n.,B1,3
38,acid,n.,B2,3
39,acknowledge,v.,C1,2
40,acquire,v.,B2,2
41,across,adv.; prep.,A2,1
42,act,n.; v.,B1,2
43,action,n.,B1,3
44,active,adj.,B1,2
45,actively,adv.,B2,1
46,activity,n.,A2,3
47,"actor, actress",n.,A2,3
48,actual,adj.,B2,2
49,actually,adv.,A2,1
50,ad,,B1,3
51,adapt,v.,B2,2
52,add,v.,A2,2
53,addition,n.,B2,3
54,additional,adj.,B2,2
55,address,n.; v.,A1,2
56,adequate,adj.,B2,2
57,adequately,adv.,B2,1
58,adjust,v.,B2,2
59,admiration,n.,B2,3
60,admire,v.,B1,2
61,admit,v.,B1,2
62,adopt,v.,B2,2
63,adult,n.; adj.,A1,2
64,advance,n.; v.,B2,2
65,advanced,adj.,A2,2
66,advantage,n.,B1,3
67,adventure,n.,A2,3
68,advertise,v.,B1,2
69,advertisement,n.,A2,3
70,advertising,n.,B2,3
71,advice,n.,A2,3
72,advise,v.,B1,2
73,affair,n.,B2,3
74,affect,v.,B2,2
75,affection,n.,B2,3
76,afford,v.,B1,2
77,afraid,adj.,A2,2
78,after,prep.; conj.; adv.,A1,1
79,afternoon,n.,A1,3
80,afterwards,adv.,A2,1
81,again,adv.,A1,1
82,against,prep.,A2,1
83,age,n.,A1,3
84,aged,adj.,A2,2
85,agency,n.,B1,3
86,agent,n.,B2,3
87,aggressive,adj.,B2,2
88,ago,adv.,A2,1
89,agree,v.,A2,2
90,agreement,n.,B2,3
91,ahead,adv.,B1,1
92,aid,n.; v.,C1,2
93,aim,n.; v.,B1,2
94,air,n.,A2,3
95,aircraft,n.,B2,3
96,airport,n.,A2,3
97,alarm,n.; v.,B1,2
98,alarmed,adj.,C1,2
99,alarming,adj.,C1,2
100,alcohol,n.,A2,3
101,alcoholic,adj.; n.,B1,2
102,alive,adj.,B1,2
103,all,det.; pron.; adv.,A1,1
104,all right,adj.; adv.; exclamation,A1,1
105,allied,adj.,C2,2
106,allow,v.,B1,2
107,ally,n.; v.,C1,2
108,almost,adv.,A2,1
109,alone,adj.; adv.,A2,1
110,along,prep.; adv.,A2,1
111,alongside,prep.; adv.,C1,1
112,aloud,adv.,B1,1
113,alphabet,n.,B1,3
114,alphabetical,adj.,B2,2
115,alphabetically,adv.,B2,1
116,already,adv.,A2,1
117,also,adv.,A1,1
118,alter,v.,B2,2
119,alternative,n.; adj.,B2,2
120,alternatively,adv.,B2,1
121,although,conj.,B1,1
122,altogether,adv.,B1,1
123,always,adv.,A1,1
124,amaze,v.,B1,2
125,amazed,adj.,B1,2
126,amazing,adj.,A2,2
127,ambition,n.,B1,3
128,ambulance,n.,A2,3
129,among,prep.,A2,1
130,amount,n.; v.,B1,2
131,amuse,v.,B2,2
132,amused,adj.,B2,2
133,amusing,adj.,B1,2
134,analyse,v.,B2,2
135,analysis,n.,B2,3
136,ancient,adj.,B1,2
137,and,conj.,A1,1
138,anger,n.,B2,3
139,angle,n.,C1,3
140,angrily,adv.,B1,1
141,angry,adj.,A2,2
142,animal,n.,A1,3
143,ankle,n.,B1,3
144,anniversary,n.,B1,3
145,announce,v.,B1,2
146,annoy,v.,B1,2
147,annoyed,adj.,B1,2
148,annoying,adj.,B1,2
149,annual,adj.,B1,2
150,annually,adv.,B2,1
151,another,det.; pron.,A2,1
152,answer,n.; v.,A1,2
153,anti-,prefix,B2,3
154,anticipate,v.,C1,2
155,anxiety,n.,B2,3
156,anxious,adj.,B1,2
157,anxiously,adv.,B2,1
158,any,det.; pron.; adv.,A1,1
159,anyone,pron.,A2,1
160,anything,pron.,A1,1
161,anyway,adv.,A2,1
162,anywhere,adv.,A2,1
163,apart,adv.,B1,1
164,apart from,,B1,3
165,apart from,prep.,B1,1
166,apartment,n.,A2,3
167,apologize,v.,B1,2
168,apparent,adj.,B2,2
169,apparently,adv.,B2,1
170,appeal,n.; v.,B2,2
171,appear,v.,B1,2
172,appearance,n.,B1,3
173,apple,n.,A1,3
174,application,n.,B1,3
175,apply,v.,B1,2
176,appoint,v.,C1,2
177,appointment,n.,A2,3
178,appreciate,v.,B2,2
179,approach,v.; n.,B1,2
180,appropriate,adj.,B2,2
181,approval,n.,B2,3
182,approve,v.,B1,2
183,approving,adj.,B1,2
184,approximate,adj.,B2,2
185,approximately,adv.,B1,1
186,April,n.; abbr. Apr.,A1,1
187,area,n.,A2,3
188,argue,v.,B1,2
189,argument,n.,B1,3
190,arise,v.,C1,2
191,arm,n.; v.,A1,2
192,armed,adj.,B2,2
193,arms,n.,B2,3
194,army,n.,B1,3
195,around,adv.; prep.,A2,1
196,arrange,v.,B1,2
197,arrangement,n.,B1,3
198,arrest,v.; n.,B1,2
199,arrival,n.,B1,3
200,arrive,v.,A2,2
201,arrow,n.,B2,3
202,art,n.,A2,3
203,article,n.,B1,3
204,artificial,adj.,B2,2
205,artificially,adv.,B2,1
206,artist,n.,A2,3
207,artistic,adj.,B2,2
208,as,prep.; adv.; conj.,A1,1
209,as soon as,,A2,3
210,as well,,A1,3
211,ashamed,adj.,B1,2
212,aside,adv.,B2,1
